id;target;source
22609;Tom quiere ir al cine.;Tom wants to go to the movies.
22610;¡Déjame salir!;Let me out!
22611;Todavía no he tenido un café.;I haven't had a coffee yet.
22612;Deberías haber tenido más cuidado.;You should have been more careful.
22613;Mi padre no me deja ir al cine solo.;My dad doesn't let me go to the cinema alone.
22614;Nunca he tenido problemas antes.;I've never had problems before.
22615;¡Ya he tenido suficiente!;I've had enough already!
22616;Déjame morir.;Let me die.
22617;¡Déjame entrar, por favor!;Please let me in.
22618;Ayer me encontré con un viejo amigo cuando fui al cine.;I ran across an old friend when I went to the movies yesterday.
22619;No he tenido la oportunidad de ver esa película.;I have not had a chance to see that movie.
22620;Déjame algunos libros para leer.;Lend me some books to read.
22621;Vale la pena leer este libro.;It is worthwhile to read this book.
22622;¿Hay mucha nieve aquí en el invierno?;Is there much snow here in the winter?
22623;De no haber sido por tu consejo, yo no hubiera tenido éxito.;If it had not been for your advice, I could not have succeeded.
22624;¿Te gustaría ir al cine?;Would you like to go to a movie?
22625;Tom no podía haber tenido nada que ver con esto.;Tom couldn't have had anything to do with this.
22626;Déjame decir lo que pienso.;Let me say what I think.
22627;Deberíamos entrar en la casa.;We should go inside the house.
22628;Déjame entrar.;Let me in.
22629;No puedo ir al cine.;I can't go to the movies.
22630;Deberíamos trabajar más rápido.;We should work faster.
22631;Debo mi éxito al hecho de no haber tenido jamás un reloj en mi lugar de trabajo.;I owe my success to the fact that I've never had a clock in my workplace.
22632;Por favor déjame ir.;Please allow me to go.
22633;Déjame saber si hay cualquier cosa que yo pueda hacer.;Let me know if there's anything I can do.
22634;Tom no puede ir al cine esta noche.;Tom can't go to the movies tonight.
22635;¿Puedo ir al cine esta noche?;May I go to the movies tonight?
22636;Déjame todo a mí.;Please leave everything to me.
22637;Déjame ver eso.;Let me see that.
22638;Creo que todos deberíamos haber tenido más cuidado.;I think we all should have been more careful.
22639;Déjame hablar a mí.;Let me do the talking.
22640;¿De verdad vale la pena?;Is it really worth it?
22641;Ayer fueron al cine.;Yesterday, they went to the movies.
22642;Hemos tenido un poco de nieve este año.;We have had little snow this year.
22643;Quiero ir al cine hoy.;I want to go to the movies today.
22644;Déjame el diccionario, por favor.;Lend me your dictionary, please.
22645;Déjame terminar.;Let me finish.
22646;Solo déjame solo.;Just leave me alone.
22647;¿Querés ir al cine esta noche?;Do you want to go to a movie tonight?
22648;Es posible que haya tenido un accidente.;It is possible that he has had an accident.
22649;Creo que deberíamos ir allí.;I think we should go there.
22650;¿Hay algún cine cerca de aquí?;Are there any movie theaters near here?
22651;Creo que deberíamos comprar una casa nueva.;I think we should buy a new house.
22652;El invierno se ha ido.;Winter is gone.
22653;Voy al cine una vez al mes.;I go to the movies once a month.
22654;Tengo ganas de ir al cine.;I feel like going to the movies.
22655;¿Cómo estás? ¿Has tenido un buen viaje?;How are you? Did you have a good trip?
22656;Solo déjame sola, por favor. Quiero pensar.;Please just leave me alone. I want to think.
22657;Tom ha tenido suerte toda su vida.;Tom has been lucky all his life.
22658;Me gustaría volver aquí el próximo invierno.;I want to come here next winter again.
22659;Déjame solo.;Leave me alone!
22660;Tenemos mucha nieve en invierno.;We have a lot of snow in the winter.
22661;Me gustaría ir al cine.;I'd like to go to the movies.
22662;Déjame pensar un momento.;Let me think for a minute.
22663;Déjame hacer esto.;Let me do this.
22664;Es un nuevo cine.;It's a new movie theater.
22665;Hasta ahora nunca hemos tenido este problema.;Up to now, we've never had this problem.
22666;Esta es mi casa en el invierno.;This is my house in the winter.
22667;¿Cuántas veces al mes vas al cine?;How often a month do you go to the movies?
22668;Aquel invierno hizo mucho frío.;It was very cold that winter.
22669;Me gusta ir al cine con mis amigos.;I like to go to the movies with my friends.
22670;El invierno es frío, pero me gusta.;Winter is cold, but I like it.
22671;Esta noche vamos al cine.;We're going to the movies tonight.
22672;Ha tenido usted una gran idea.;You've had a great idea.
22673;¿Por qué la gente va al cine?;Why do people go to the movies?
22674;Vaya por dios. Qué pena.;Oh dear. What a shame.
22675;¡Qué pena!;What a pity!
22676;Nunca he tenido tanto dinero.;I've never had such a large sum of money.
22677;Tan solo no he tenido la oportunidad.;I just haven't had a chance.
22678;¡Qué suerte tenemos al haber tenido la oportunidad de trabajar con usted!;How lucky we are to have had the opportunity to work with you!
22679;He tenido suerte hasta ahora.;I have been lucky until now.
22680;En invierno hay mucha nieve.;There's a lot of snow in the winter.
22681;Creo que debes estar equivocado.;I think you must be mistaken.
22682;Te amo con todo mi corazón.;I love you with all my heart.
22683;¿Cómo se dice "te amo" en francés?;How do you say "I love you" in French?
22684;Me parece que estás equivocado.;It appears to me you are mistaken.
22685;Te amo más que a ella.;I love you more than her.
22686;Tomás está equivocado como siempre.;Tom is wrong as usual.
22687;¿Qué acabo de escribir?;What have I just written?
22688;Esto es lo que yo amo.;This is what I love.
22689;Creo que estás equivocado.;I think you're mistaken.
22690;Lo siento, creo que se ha equivocado de número.;Sorry, but I think you've got the wrong number.
22691;Acabo de llegar y no conozco a nadie.;I've just arrived and I don't know anyone.
22692;No amo a Tom.;I don't love Tom.
22693;La amo con todo mi corazón.;I love her with all my heart.
22694;Acabo de terminar de escribir una carta.;I've just finished writing a letter.
22695;Acabo de volver a la ciudad.;I just got back in town.
22696;Te dije que te amo.;I told you I loved you.
22697;Amo el sol.;I love the sun.
22698;Te amo.;I love you.
22699;Al entrar al cuarto, ella se cayó.;Upon entering the room, she fell down.
22700;En realidad podría estar equivocado.;I may indeed be wrong.
22701;Ahí es donde estás equivocado.;That is where you are wrong.
22702;Tom cayó de cara.;Tom fell flat on his face.
22703;Amo tanto a María.;I love Mary so much.
22704;Lo amo.;I love him.
22705;Te amo más que ayer y menos que mañana.;I love you more than yesterday and less than tomorrow.
22706;Acabo de terminar mi tarea.;I have just finished my homework.
22707;Lo amo, pero él piensa que lo odio.;I love him, but he thinks I hate him.
22708;¡Tú sabes que te amo!;You know I love you!
22709;El niño se cayó de la cama.;The child fell out of bed.
22710;Tom había estado en el lugar equivocado en el momento equivocado.;Tom had been in the wrong place at the wrong time.
22711;Tom está equivocado.;Tom is wrong.
22712;Acabo de hablar con Tom.;I just spoke to Tom.
22713;Las amo a las dos.;I love you both.
22714;Los amo a los dos.;I love you both.
22715;Amo a mi papá.;I love my dad.
22716;Acabo de ver a María en el parque.;I've just seen Marie at the park.
22717;Al fin, él se dio cuenta de que estaba equivocado.;At last he realized that he was mistaken.
22718;Equivocado.;Wrong.
22719;Todavía amo a Tom.;I still love Tom.
22720;Apenas acabo de ver el accidente.;I only just saw the accident.
22721;Amo su país.;I love your country.
22722;Te amo por lo que eres.;I love you for who you are.
22723;Tú sabes que te amo.;You know I love you.
22724;En mi opinión está equivocado.;In my opinion, he is wrong.
22725;Acabo de llegar a la estación.;I've just arrived at the station.
22726;Amo mi país.;I love my country.
22727;No podrías estar más equivocado.;You couldn't be more wrong.
22728;En este caso estás equivocado.;You're wrong in this case.
22729;Aún estás equivocado.;You're still wrong.
22730;Tú sabes que estoy equivocado.;You know I'm wrong.
22731;Tienes el número equivocado.;You have the wrong number.
22732;Yo amo a Dios.;I love God.
22733;¡Te amo, Señor!;I love you, Lord!
22734;Tom se cayó.;Tom fell down.
22735;Tom se cayó de su bicicleta.;Tom fell off his bicycle.
22736;Yo amo a mis amigos.;I love my friends.
22737;Acabo de volver de la escuela.;I have just come back from school.
22738;Me pregunto si Mary sabe cuanto la amo.;I wonder if Mary knows how much I love her.
22739;Amo la hija de ella.;I love her daughter.
22740;A decir verdad, yo no le amo.;To tell you the truth, I don't love him.
22741;Acabo de terminar el libro que estaba leyendo.;I just finished the book I was reading.
22742;Tom podría estar equivocado.;Tom might be wrong.
22743;Eres el único a quien yo amo.;You are the only one I love.
22744;Sí, puedo terminar contigo. Acabo de hacerlo.;Yes, I can break up with you. I just did.
22745;Tom estaba equivocado.;Tom was wrong.
22746;Tom debe estar equivocado.;Tom must be wrong.
22747;Acabo de ver a Tom hace tres horas.;I just saw Tom three hours ago.
22748;Acabo de comer, así que no tengo hambre.;I've just eaten so I'm not hungry.
22749;Amo el amor.;I love love.
22750;Yo amo el amor.;I love love.
22751;Estaba equivocado acerca de mí mismo.;I was wrong about myself.
22752;Acabo de hablar con Tom. "¿Sobre qué?" "Sobre lo que hizo Mary.";I was just talking to Tom. "About what?" "About what Mary did."
22753;Amo lo que eres.;I love what you are.
22754;Aún te amo.;I still love you.
22755;Él está bastante equivocado.;He is quite in the wrong.
22756;Amo este auto.;I love this car.
22757;Yo la quiero mucho, pero no sé si la amo.;I really like her, but I'm not sure that I love her.
22758;Yo amo Boston.;I love Boston.
22759;Estaba equivocado contigo.;I was wrong about you.
22760;Os amo.;I love you.
22761;Te amo tal como sos.;I love you just as you are.
22762;Acabo de llegar a Boston.;I've just arrived in Boston.
22763;Amo hablar con ella.;I love talking to her.
22764;Lo siento, te amo.;I'm sorry, I love you.
22765;Amo a tu hijo.;I love your son.
22766;Cayó mucha nieve el año pasado.;It snowed a lot last year.
22767;Yo acabo de terminar de comer.;I've just finished eating.
22768;Acabo de leer este libro.;I have just read this book.
22769;Lo amo a Tomás.;I love Tom.
22770;Acabo de hablar con él.;I just spoke to him.
22771;O él está equivocado, o yo.;Either he is wrong or I am.
22772;Amo a los gatos.;I love cats.
22773;Ella me dijo: "yo te amo".;She said 'I love you' to me.
22774;Acabo de comer.;I have just eaten lunch.
22775;Te amo más que cualquier cosa.;I love you more than anything.
22776;Yo sé que estaba equivocado.;I know that I was wrong.
22777;Yo amo mucho a mi madre.;I love my mother very much.
22778;El árbol se cayó.;The tree fell down.
22779;Tengo miedo de tener el número equivocado.;I'm afraid of having the wrong number.
22780;De hecho, yo mismo acabo de llegar.;As a matter of fact, I've only just arrived myself.
22781;Él está completamente equivocado.;He is entirely in the wrong.
22782;Acabo de estar en la casa de mi tío.;I've just been to my uncle's house.
22783;Acabo de volver de allí.;I just came from there.
22784;Se cayó al río.;He fell into the river.
22785;Te amo, corazón.;I love you, sweet heart.
22786;Amo a mi esposa.;I love my wife.
22787;Te amo mucho.;I love you a lot.
22788;Me acabo de encontrar a tu padre.;I met your father just now.
22789;Acabo de llegar del colegio.;I have just come back from school.
22790;Creo que Tom está equivocado en eso.;I believe Tom is mistaken about that.
22791;Creo que se ha equivocado.;I think you have made a mistake.
22792;Ella se fue, pero yo todavía la amo.;She has gone, but I still love her.
22793;Acabo de perder mi trabajo por tu culpa.;It's your fault that I just lost my job.
22794;Te amo desde el momento en que te vi.;I've loved you from the moment I saw you.
22795;Lo acabo de hacer.;I just did it.
22796;Acabo de llegar.;I just arrived now.
22797;Acabo de terminar mi trabajo.;I've just finished my work.
22798;Sea como sea, yo estoy equivocado.;However that may be, I am wrong.
22799;Vio que estaba equivocado.;He saw he was wrong.
22800;El reloj está equivocado.;The clock is wrong.
22801;Puede que esté equivocado.;Maybe I'm wrong.
22802;Debo de tener el número equivocado.;I must have the wrong number.
22803;¿Estaba equivocado?;Was I wrong?
22804;Estás en el tren equivocado.;You are on the wrong train.
22805;¡Te amo!;I love you.
22806;Debes de estar equivocado.;You must be mistaken.
22807;Él estaba equivocado.;He was wrong.
22808;Amo la vida.;I love life.
22809;Estás equivocado.;You are wrong.
22810;Hoy, amo a todo el mundo.;Today I love the entire world.
22811;Me acabo de dar cuenta que es mucho más trabajo de lo que pensé.;I just realized it's much more work that I have thought.
22812;Debes tener en cuenta lo que te acabo de decir.;You must bear in mind what I've just said to you.
22813;Estás equivocado, ese no es el caso.;You're wrong. That's not the case.
22814;Ahora que lo pienso, está equivocado.;Come to think of it, he is wrong.
22815;Puede que Tom esté equivocado.;Tom may be wrong.
22816;Amo a mi hijo.;I love my son.
22817;Vas en el tren equivocado.;You are on the wrong train.
22818;Acabo de pensar en algo muy interesante.;I just thought of something really interesting.
22819;Amo a mis padres.;I love my parents.
22820;Tom tomó el tren equivocado.;Tom took the wrong train.
22821;Parece que él está equivocado.;It seems that he is wrong.
22822;Lo siento, creo que está equivocado.;I'm sorry, but I think you're mistaken.
22823;Yo lo amo.;I love him.
22824;La amo.;I love her.
22825;Él piensa que la amo.;He thinks I love her.
22826;No estás del todo equivocado.;You're not entirely wrong.
22827;Acabo de volver.;I've just come back.
22828;Se te cayó el café.;You've spilt your coffee.
22829;Acabo de hacer un amigo.;I just made a friend.
22830;Acabo de terminar de comer.;I have just finished eating.
22831;Acabo de llegar aquí.;I just got here.
22832;Sea como sea, estás equivocado.;Anyway, you're wrong.
22833;Él vio que estaba equivocado.;He saw that he was wrong.
22834;Acabo de pensar en algo.;I just thought of something.
22835;Yo sí te amo.;I do love you.
22836;El hecho es que no la amo.;The fact is I do not love her.
22837;Yo podría estar equivocado.;I could be wrong.
22838;Ni dios ni amo.;Neither God nor Master.
22839;En mi opinión, tú estás equivocado.;In my opinion, you are wrong.
22840;Acabo de llegar a casa.;I've just come home.
22841;Te amo como a un hermano.;I love you like a brother.
22842;No solo estás equivocado tú, sino yo también.;Not only are you wrong, but I am wrong too.
22843;¡Amo mi lengua!;I love my language!
22844;No estoy del todo equivocado.;I'm not a hundred percent wrong.
22845;Estás completamente equivocado.;You are completely wrong.
22846;¡Te lo acabo de decir!;I told you before!
22847;Le dije que estaba equivocado.;I told him that he was wrong.
22848;Nada más entrar, se cayó.;The instant he came in, he fell down.
22849;Acabo de venir de casa.;I just came from my house.
22850;Cayó enfermo hace unos días.;He fell ill a few days ago.
22851;No la amo.;I don't love her.
22852;Yo puedo estar equivocado.;I might be wrong.
22853;Ya no la amo.;I don't love her anymore.
22854;Estoy seguro de que estás equivocado.;I'm sure you're mistaken.
22855;Solo quería decir que te amo.;I just wanted to tell you I love you.
22856;Puedo estar equivocado.;I may be wrong.
22857;Amo a su hijo.;I love his son.
22858;Me acabo de encontrar con él.;I just met him.
22859;Acabo de oír de Tom.;I just heard from Tom.
22860;Estabas equivocado después de todo.;You were wrong after all.
22861;Acabo de ir al banco.;I've just been to the bank.
22862;Sé que te amo.;I know I love you.
22863;Estaba equivocado.;I was wrong.
22864;Espera ahí.;Hang on there.
22865;El padre de ella es un inglés de clase media.;Her father is a middle-class English man.
22866;Espera hasta mañana por la mañana.;Wait until tomorrow morning.
22867;Tom se va a la cama a las diez y media.;Tom goes to bed at 10:30.
22868;Me perdí la primera media hora de la película.;I missed the first thirty minutes of the movie.
22869;De media, voy al cine dos veces al mes.;On an average, I go to the movies twice a month.
22870;Hay muchas cosas que Tom espera hacer antes de morir.;There were many things that Tom wanted to do before he died.
22871;Tom tiene media hora más de trabajo que hacer antes de que se pueda ir a casa.;Tom has another half an hour of work to do before he can go home.
22872;Tom llegó media hora temprano.;Tom arrived half an hour early.
22873;Soy de clase media.;I'm middle class.
22874;No soy de clase media.;I'm not middle class.
22875;Ella me dejó esperando media hora.;She kept me waiting for 30 minutes.
22876;Ella me hizo esperar media hora.;She made me wait for half an hour.
22877;Nos espera un gran día.;A big day awaits us.
22878;Tom espera demasiado de Mary.;Tom expects too much of Mary.
22879;Creo que Tom nos espera a los dos.;I think Tom is expecting us both.
22880;Espera a María.;Wait for Mary.
22881;Espera, Tom.;Hang on, Tom.
22882;¿Qué hora es? "Son las diez y media.";What time is it? "It is ten-thirty."
22883;Ahora son las diez y media.;Right now, it is a half past ten.
22884;Ella volvió después de más o menos media hora.;She came back in about thirty minutes.
22885;Tom espera no tener que vivir en Boston durante más de un año.;Tom hopes he doesn't have to live in Boston for more than a year.
22886;¡Espera un momento!;Hang on!
22887;Espera fuera.;Wait outside.
22888;Creo que deberíamos esperar otra media hora.;I think we should wait another half an hour.
22889;La mujer media es más grande que yo.;The average woman is bigger than I.
22890;Sólo espera.;Just hang on.
22891;Espera allí.;Hold on there.
22892;Por favor, espera un poco más.;Please wait a little while longer.
22893;Hay una lista de espera.;There's a waiting list.
22894;Te veo a las seis y media.;I'll see you at six-thirty.
22895;¿Qué espera encontrar aquí?;What do you hope to find here?
22896;Tom no sabe qué espera Mary de él.;Tom doesn't know what Mary expects from him.
22897;¿Qué espera?;What does he expect?
22898;Yo he estado esperando por casi media hora.;I have been waiting for almost half an hour.
22899;Son las cuatro y media de la tarde.;It's 4:30 in the afternoon.
22900;¿Qué nos espera?;What's waiting on us?
22901;Tom debe estar en casa a las dos y media.;Tom must be home by 2:30.
22902;Él estaba en la lista de espera.;He was in the queue.
22903;Me hizo esperar alrededor de media hora.;He made me wait for about half an hour.
22904;Tom espera que Mary pueda venir a su casa esta tarde.;Tom hopes Mary can come over to his house this afternoon.
22905;Espera un poco hasta que esté listo.;Hang on a bit until I'm ready.
22906;Espera aquí un poco.;Wait here for a while.
22907;Él es de la clase media.;He comes from the middle class.
22908;Espera sólo un momento.;Wait just a moment.
22909;He estado esperando durante una hora y media.;I have been waiting for an hour and a half.
22910;Son las siete y media.;It is 7:30.
22911;Son las tres y media.;It's 3:30.
22912;Espera aquí.;Wait here.
22913;Espera un momento.;Please wait.
22914;Espera hasta las seis.;Wait till six.
22915;¡Espera!;Wait!
22916;Vino media hora tarde.;He came half an hour late
22917;Por favor, espera media hora.;Please wait half an hour.
22918;El gato le espera en casa.;The cat is waiting for you at home.
22919;Eran las siete y media.;It was seven thirty.
22920;Espera justo aquí.;Wait right here.
22921;Quiero verte en tu oficina en media hora.;I want to see you in your office in half an hour.
22922;Espera un momento, por favor.;Hold on a moment, please.
22923;Espera hasta mañana en la mañana.;Wait until tomorrow morning.
22924;Tengo que dar una clase mañana a las dos y media.;I have to give a class tomorrow at 2:30.
22925;Tom espera que esté bien para mañana.;Tom hopes that it'll be fine tomorrow.
22926;Tom espera que no nieve mañana.;Tom hopes that it doesn't snow tomorrow.
22927;Tom llegó a casa a las dos y media.;Tom arrived home at 2:30.
22928;¡Un par más!;A couple more!
22929;Me gustaría dar la vuelta al mundo en barco.;I'd like to go around the world on a boat.
22930;Me voy de la ciudad por un par de días.;I'm leaving town for a few days.
22931;Necesito un par de días más.;I need a few more days.
22932;Tom murió hace un par de años.;Tom died a couple of years ago.
22933;Una mujer cayó de un barco al mar;A woman fell from a ship into the sea.
22934;¿Crees que eres capaz de pasar un par de minutos sola con Tom?;Do you think you can handle a few minutes alone with Tom?
22935;¿En qué barco estabas?;What ship were you on?
22936;¿Puedo hacer un par de preguntas?;May I ask a couple of questions?
22937;Compré un par de zapatos.;I bought a pair of shoes.
22938;Tom le puso a su barco el nombre de su novia, pero entonces ella le dejó.;Tom named his boat after his girlfriend, but then she left him.
22939;Tom ni siquiera tiene un par de zapatos.;Tom doesn't even have a pair of shoes.
22940;Este es el único par de zapatos que tengo.;This is the only pair of shoes I have.
22941;Él se quedó en el hotel por un par de días.;He stayed at a hotel for a couple of days.
22942;Veo mi barco.;I see my ship.
22943;¿Está Tom en este barco?;Is Tom on this ship?
22944;Tom tiene que salir en un par de minutos.;Tom has to leave in a few minutes.
22945;Este trabajo no debe tomar más de un par de horas.;This job shouldn't take more than a couple of hours.
22946;Tenemos sólo un par de preguntas más.;We have just a few more questions.
22947;¡Barco a la vista!;Ship ahoy!
22948;Este es otro par de zapatos.;This is an another pair of shoes.
22949;¿Cuál es el nombre de tu barco?;What's the name of your ship?
22950;Puedo ver un barco a lo lejos.;I can see a ship in the distance.
22951;Tengo que comprar un par de zapatos.;I must buy a pair of shoes.
22952;Quiero comprar un par de cosas por aquí.;I want to do some shopping around here.
22953;Hemos estado aquí por un par de minutos.;We've been here for a couple of minutes.
22954;Compró un par de zapatos.;He bought a pair of shoes.
22955;¡Qué barco más grande!;What a big ship that is!
22956;Lo hice en un par de días.;I did it in a couple of days.
22957;Él compró un par de zapatos.;He bought a pair of shoes.
22958;Mary tiene un par de años más que Tom.;Mary is a few years older than Tom.
22959;Espero que se vaya en un par de horas.;I hope he leaves in a few hours.
22960;Compré un nuevo par de zapatos.;I got a new pair of shoes.
22961;Tom y Mary están en el mismo barco.;Tom and Mary are in the same boat.
22962;Ese es un barco.;That is a ship.
22963;Tengo un par de libros en inglés.;I have a few English books.
22964;Mi tío me dio un par de zapatos.;My uncle gave me a pair of shoes.
22965;Tom fue a comprar otro par de zapatos.;Tom went to buy another pair of shoes.
22966;Tom compró una cámara hace un par de días, pero ya la perdió.;Tom bought a camera just a couple of days ago, but he's already lost it.
22967;Ahora lo único que quiero es dormir un par de horas.;Right now, all I want to do is sleep for a few hours.
22968;¿Por qué estás en este barco?;Why are you on this ship?
22969;Todos estamos en el mismo barco.;We're all in this together.
22970;Tengo un par de zapatos.;I have a pair of shoes.
22971;¿Cuántas veces ha hecho usted el viaje por barco?;How many times have you made the trip by boat?
22972;Solo tengo un par de preguntas.;I just have a couple of questions.
22973;Creo que está en peligro.;I think you're in danger.
22974;Estoy en peligro.;I'm in danger.
22975;Podrías estar en peligro.;You could be in danger.
22976;No estamos en peligro.;We're not in danger.
22977;¿Estás en peligro?;Are you in danger?
22978;La vida del enfermo está en peligro.;The sick man's life is in danger.
22979;Tom no está en peligro.;Tom isn't in danger.
22980;Incluso un niño sabe lo que es no tener amigos.;Even a child knows what it is like to be without friends.
22981;Puede que Tom esté en peligro.;Tom may be in danger.
22982;Creo que estamos fuera de peligro.;I think we're out of danger.
22983;Tom está en peligro.;Tom is in danger.
22984;Tom y Mary están en peligro.;Tom and Mary are in danger.
22985;Incluso un niño puede hacer tal cosa.;Even a child can do such a thing.
22986;Tú debes hacer el trabajo, incluso si no te gusta.;You must do the work, even if you do not like it.
22987;Ahora ella está en peligro.;She is now in danger.
22988;Esto es un peligro para tu salud.;This is a hazard to your health.
22989;El peligro de la guerra ya pasó.;The danger of war passed.
22990;Así es como él salió de peligro.;That is how he got out of danger.
22991;Tom tiene una boca grande.;Tom's got a big mouth.
22992;Tom, tu vida está en peligro.;Tom, your life's in danger.
22993;¿Por qué tienes una boca tan grande?;Why is your mouth so big?
22994;Es un hecho que fumar es un peligro para la salud.;It is a fact that smoking is a danger to health.
22995;Tom se puso a si mismo y a sus hijos en peligro.;Tom put himself and his children at risk.
22996;La vida de ella está en peligro.;Her life is in danger.
22997;Estás en peligro, Tom.;You're in danger, Tom.
22998;¿Esto se puede comer sin peligro?;Is this safe to eat?
22999;Su vida estaba en peligro.;His life was in danger.
23000;Él tiene una boca grande.;He has a big mouth.
23001;A ella le gusta decir las cosas con la boca pequeña.;She likes to say things she doesn't really mean.
23002;Él puede hacerlo bien, y tú lo puedes hacer incluso mejor.;He can do it well, and you can do it even better.
23003;Estamos fuera de peligro.;We are out of danger.
23004;Él es incluso mayor que su esposa.;He is even older than his wife.
23005;¡Peligro, peligro!;Danger, danger!
23006;Estamos en peligro.;We're in danger.
23007;Incluso si es verdad, apenas importa.;Even if it is true, it matters little.
23008;Mi vida estaba en peligro.;My life was in danger.
23009;Ella está en peligro.;She's in danger.
23010;Están en peligro.;They're in danger.
23011;Estás en peligro.;You're in danger.
23012;Incluso yo no lo puedo creer.;Even I can't believe that.
23013;Ella está fuera de peligro.;She is out of danger.
23014;Es, incluso ahora, un libro que les encanta tanto a hombres como a mujeres.;It is, even now, a book loved by men and women alike.
23015;¿Hay algún peligro?;Is there any danger?
23016;No hay peligro.;There's no danger.
23017;Él está en peligro.;He's in danger.
23018;Yo pienso que su vida está en peligro.;I think his life is in danger.
23019;Tom tiene boca grande.;Tom has a big mouth.
23020;Hay gente que solo habla porque tiene boca.;There are people who talk just because they have a mouth.
23021;Allí hace frío incluso en verano.;It's cold there even in the summer.
23022;A algunas personas les gusta el peligro.;Some people like danger.
23023;Pensé que Tom estaba en peligro.;I thought Tom was in danger.
23024;Creo que su vida está en peligro.;I think his life is in danger.
23025;Incluso ahora, no sería posible.;Even now, it wouldn't be possible.
23026;Su vida está en peligro.;His life is in danger.
23027;¿Por qué tienes la boca tan grande?;Why is your mouth so big?
23028;¿Por qué su boca es tan grande?;Why is your mouth so big?
23029;¿Por qué tiene la boca tan grande?;Why is your mouth so big?
23030;¿Por qué tu boca es tan grande?;Why is your mouth so big?
23031;Tengo el corazón en la boca.;I'm out of breath.
23032;Tom está al tanto del peligro.;Tom is aware of the danger.
23033;Tomás sabía exactamente que hacer.;Tom knew exactly what to do.
23034;Por favor, dame otra oportunidad.;Please give me another chance.
23035;Dame un poco de tiempo para pensar.;Give me some time to think.
23036;A mí me pasó exactamente lo mismo.;The exact same thing happened to me.
23037;Les debo a mis padres el haber sido capaz de terminar la universidad.;I owe it to my parents that I was able to finish college.
23038;Estoy exactamente donde quiero estar.;I'm exactly where I want to be.
23039;Es exactamente lo que pensé yo.;That's exactly what I thought.
23040;Tom hizo exactamente lo que le dije que haga.;Tom did exactly what I told him to do.
23041;Dame sólo un poco.;Give me just a little.
23042;Por favor, dame la carta.;Please give me the letter.
23043;Por favor dame el libro.;Please give me the book.
23044;No por nada él fue a la universidad.;He did not go to college for nothing.
23045;Pasó exactamente así.;It happened just like this.
23046;¿Por qué piensas que dijo eso?;Why do you think he said so?
23047;Dame algo de café por favor.;Please give me some coffee.
23048;Dame un café por favor.;Please give me a coffee.
23049;¿Qué quieres estudiar en la universidad?;What do you want to study at college?
23050;¿De verdad piensas que es malo?;Do you really think that it's bad?
23051;Dame el número.;Give me the number.
23052;Eso es exactamente lo que dijo.;That's exactly what he said.
23053;Él dijo exactamente eso.;That's exactly what he said.
23054;Solo dame un poco más de tiempo.;Just give me a bit more time.
23055;Dame un café, por favor.;Give me a coffee, please.
23056;¿Qué clase de juego piensas que es este?;What kind of game do you think this is?
23057;¿Tú qué piensas de la guerra?;What do you think of war?
23058;Tom es más joven de lo que piensas.;Tom is younger than you think.
23059;Te conozco mejor de lo que piensas.;I know you better than you think.
23060;¿Qué quieres exactamente?;What exactly do you want?
23061;¿Qué quieres decir exactamente?;What exactly do you mean?
23062;¿Qué estás buscando exactamente?;What exactly are you looking for?
23063;Eres libre de decir lo que piensas.;You are free to say what you think.
23064;¿Piensas que Tom se parece a su mamá?;Do you think Tom looks like his mother?
23065;Dame un poco de agua, por favor.;Give me some water, please.
23066;Sé exactamente quién es.;I know exactly who it is.
23067;Dame más té.;Give me some more tea.
23068;¿Qué es exactamente lo que están haciendo ahí?;What exactly are they doing in there?
23069;¿En dónde exactamente estamos?;Where are we exactly?
23070;¿Qué piensas de la guerra?;What's your opinion about war?
23071;Dame una razón para hacer tal cosa.;Give me a reason for doing such a thing.
23072;Eso no es exactamente lo que yo quería.;This isn't exactly what I wanted.
23073;¿En dónde piensas pasar tus vacaciones?;Where do you intend to spend your vacation?
23074;Tom lo hizo exactamente como Mary le dijo.;Tom did exactly as Mary told him to do.
23075;No es exactamente eso lo que dije.;That is not exactly what I said.
23076;Está en la universidad.;He is in college.
23077;¿Piensas que se lo debería decir a Tom?;Do you think I should tell Tom?
23078;Exactamente, ¿cuántas veces hiciste eso?;Exactly how many times did you do that?
23079;Dame agua.;Give me water.
23080;Mucho más pronto de lo que piensas.;Much sooner than you think.
23081;Dame otra oportunidad.;Give me another chance.
23082;Debes decir lo que piensas.;You should say what you think.
23083;Dame tu número de teléfono.;Give me your phone number.
23084;Dame un poco más de tiempo, por favor.;Please give me a little more time.
23085;Dame todo el dinero.;Give me all the money.
23086;Tom no es tan bueno en francés como tú piensas.;Tom isn't as good at French as you think he is.
23087;¿Qué piensas de mi nuevo sombrero?;What do you think of my new hat?
23088;Él trabaja en la universidad.;He works in the university.
23089;Trabaja en la universidad.;He works in the university.
23090;Su sueño era ser profesor de universidad.;It has been her dream to be a university professor.
23091;¿Por qué piensas eso?;Why do you think so?
23092;Dame mi cerveza.;Give me my beer.
23093;Llegó a casa exactamente a las diez.;He came home right at ten.
23094;¿Tom fue a la universidad?;Did Tom go to college?
23095;¿Exactamente qué pasó aquí?;Exactly what happened here?
23096;¿Cuántos estudiantes hay en tu universidad?;How many students are there in your university?
23097;¿Cuántos estudiantes hay en su universidad?;How many students are there in your university?
